"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"06-Apr-2021","EQ","2,004.00","2,004.95","1,969.00","1,992.60","1,986.20","1,984.30","1,984.99","2,369.35","1,100.00",6465241,"12,833,469,592.40",209903
"05-Apr-2021","EQ","2,024.95","2,025.00","1,962.10","2,021.85","1,992.00","1,992.60","1,986.24","2,369.35","1,100.00",6864856,"13,635,237,475.50",246459
"01-Apr-2021","EQ","2,018.00","2,030.00","2,003.15","2,003.10","2,020.00","2,021.85","2,017.89","2,369.35","1,020.00",5410307,"10,917,411,938.75",140946
"31-Mar-2021","EQ","2,018.00","2,049.90","1,999.00","2,029.30","2,005.65","2,003.10","2,017.21","2,369.35","1,020.00",7499740,"15,128,527,745.25",193340
"30-Mar-2021","EQ","2,008.00","2,048.90","1,991.55","1,994.65","2,031.90","2,029.30","2,026.44","2,369.35","1,020.00",9433850,"19,117,149,421.75",230499
"26-Mar-2021","EQ","2,012.00","2,013.70","1,973.70","1,991.45","1,994.00","1,994.65","1,995.09","2,369.35","875.65",9313160,"18,580,559,230.90",296946
"25-Mar-2021","EQ","2,054.00","2,054.00","1,985.00","2,047.30","1,993.95","1,991.45","2,011.25","2,369.35","875.65",10153757,"20,421,743,790.45",292881
"24-Mar-2021","EQ","2,079.75","2,079.75","2,040.40","2,087.50","2,048.55","2,047.30","2,055.87","2,369.35","875.65",7763726,"15,961,211,345.55",222445
"23-Mar-2021","EQ","2,061.95","2,109.70","2,056.00","2,062.40","2,079.90","2,087.50","2,086.63","2,369.35","875.65",8039865,"16,776,188,634.65",220527
"22-Mar-2021","EQ","2,071.00","2,074.00","2,033.20","2,082.00","2,061.00","2,062.40","2,050.93","2,369.35","875.65",8571196,"17,578,960,666.30",234534
"19-Mar-2021","EQ","1,991.00","2,095.85","1,982.80","2,009.10","2,078.10","2,082.00","2,047.50","2,369.35","875.65",19284892,"39,485,840,254.00",431829
"18-Mar-2021","EQ","2,072.90","2,084.80","2,001.00","2,055.35","2,010.00","2,009.10","2,038.79","2,369.35","875.65",9528809,"19,427,231,150.25",295771
"17-Mar-2021","EQ","2,098.05","2,103.00","2,035.10","2,100.60","2,054.50","2,055.35","2,065.89","2,369.35","875.65",8865521,"18,315,233,171.30",241456
"16-Mar-2021","EQ","2,114.00","2,126.00","2,095.50","2,108.90","2,100.75","2,100.60","2,107.19","2,369.35","875.65",6402757,"13,491,841,404.75",235823
"15-Mar-2021","EQ","2,140.05","2,148.90","2,080.50","2,137.60","2,105.00","2,108.90","2,103.37","2,369.35","875.65",7706302,"16,209,190,175.60",268696
"12-Mar-2021","EQ","2,195.00","2,206.40","2,123.90","2,181.95","2,136.90","2,137.60","2,160.60","2,369.35","875.65",7783173,"16,816,345,899.25",244889
"10-Mar-2021","EQ","2,207.00","2,215.10","2,170.25","2,191.05","2,179.40","2,181.95","2,187.67","2,369.35","875.65",5316182,"11,630,074,902.15",163700
"09-Mar-2021","EQ","2,200.00","2,213.80","2,146.60","2,191.10","2,190.55","2,191.05","2,181.47","2,369.35","875.65",6993792,"15,256,736,215.60",227932
"08-Mar-2021","EQ","2,168.50","2,231.90","2,168.00","2,178.70","2,193.00","2,191.10","2,205.66","2,369.35","875.65",9002404,"19,856,244,553.30",300037
"05-Mar-2021","EQ","2,156.00","2,211.95","2,153.05","2,175.85","2,174.55","2,178.70","2,184.35","2,369.35","875.65",11773630,"25,717,685,129.45",312784
"04-Mar-2021","EQ","2,180.00","2,189.95","2,157.70","2,202.10","2,174.00","2,175.85","2,175.57","2,369.35","875.65",9892597,"21,522,070,320.90",259806
"03-Mar-2021","EQ","2,121.05","2,219.90","2,107.20","2,106.00","2,207.10","2,202.10","2,161.54","2,369.35","875.65",14733134,"31,846,213,370.25",326092
"02-Mar-2021","EQ","2,122.00","2,130.00","2,089.10","2,101.70","2,108.00","2,106.00","2,107.78","2,369.35","875.65",7915073,"16,683,250,358.50",244565
"01-Mar-2021","EQ","2,110.20","2,112.00","2,062.50","2,085.80","2,103.00","2,101.70","2,092.87","2,369.35","875.65",8159670,"17,077,101,153.20",266082
"26-Feb-2021","EQ","2,117.00","2,133.90","2,070.70","2,144.35","2,079.50","2,085.80","2,096.69","2,369.35","875.65",17297575,"36,267,601,929.10",489066
"25-Feb-2021","EQ","2,076.00","2,152.00","2,073.00","2,061.00","2,147.00","2,144.35","2,120.59","2,369.35","875.65",16085897,"34,111,575,087.70",452535
"24-Feb-2021","EQ","2,030.00","2,065.25","2,026.15","2,023.45","2,060.55","2,061.00","2,048.89","2,369.35","875.65",4987735,"10,219,330,132.75",135224
"23-Feb-2021","EQ","2,048.00","2,052.90","2,013.60","2,008.10","2,026.15","2,023.45","2,034.50","2,369.35","875.65",11834752,"24,077,795,769.25",275466
"22-Feb-2021","EQ","2,080.00","2,089.90","1,994.95","2,080.30","1,999.10","2,008.10","2,036.88","2,369.35","875.65",10985697,"22,376,599,862.25",309112
"19-Feb-2021","EQ","2,057.00","2,104.95","2,053.30","2,067.70","2,080.00","2,080.30","2,088.14","2,369.35","875.65",10800704,"22,553,356,631.00",279181
"18-Feb-2021","EQ","2,085.00","2,108.40","2,059.10","2,083.25","2,063.50","2,067.70","2,085.18","2,369.35","875.65",8605531,"17,944,045,241.05",228157
"17-Feb-2021","EQ","2,060.00","2,095.95","2,050.60","2,059.50","2,079.20","2,083.25","2,076.99","2,369.35","875.65",10957388,"22,758,423,346.25",257784
"16-Feb-2021","EQ","2,039.75","2,079.40","2,035.00","2,032.60","2,058.50","2,059.50","2,061.23","2,369.35","875.65",9886093,"20,377,537,336.50",274329
"15-Feb-2021","EQ","2,048.05","2,061.30","2,025.00","2,041.60","2,034.00","2,032.60","2,043.13","2,369.35","875.65",7287590,"14,889,502,308.25",222500
"12-Feb-2021","EQ","2,055.50","2,078.00","2,015.40","2,055.70","2,040.00","2,041.60","2,049.91","2,369.35","875.65",14074374,"28,851,163,932.35",369938
"11-Feb-2021","EQ","1,980.00","2,064.20","1,972.25","1,974.30","2,061.80","2,055.70","2,028.11","2,369.35","875.65",19631870,"39,815,594,030.25",546129
"10-Feb-2021","EQ","1,953.75","1,984.75","1,927.30","1,956.15","1,980.35","1,974.30","1,955.63","2,369.35","875.65",9799560,"19,164,292,386.25",288994
