"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Aug-2021","EQ","2,054.30","2,079.40","2,041.15","2,035.30","2,068.50","2,072.50","2,067.46","2,369.35","1,830.00",5041934,"10,424,020,795.65",164715
"30-Jul-2021","EQ","2,058.00","2,067.95","2,031.10","2,053.25","2,037.00","2,035.30","2,049.03","2,369.35","1,830.00",5238304,"10,733,444,604.55",158088
"29-Jul-2021","EQ","2,054.00","2,074.40","2,043.40","2,037.35","2,054.30","2,053.25","2,057.20","2,369.35","1,830.00",6352886,"13,069,140,427.40",203791
"28-Jul-2021","EQ","2,058.00","2,058.00","2,016.25","2,055.00","2,035.00","2,037.35","2,033.86","2,369.35","1,830.00",5952355,"12,106,241,436.45",222240
"27-Jul-2021","EQ","2,076.80","2,083.70","2,042.00","2,076.85","2,054.00","2,055.00","2,062.00","2,369.35","1,830.00",4995516,"10,300,736,942.35",196342
"26-Jul-2021","EQ","2,108.00","2,121.00","2,071.10","2,105.70","2,073.90","2,076.85","2,092.34","2,369.35","1,830.00",5717830,"11,963,623,196.15",193266
"23-Jul-2021","EQ","2,134.45","2,134.45","2,102.05","2,120.70","2,104.00","2,105.70","2,119.06","2,369.35","1,830.00",4585938,"9,717,885,501.10",143981
"22-Jul-2021","EQ","2,119.00","2,123.90","2,098.15","2,093.80","2,121.50","2,120.70","2,111.60","2,369.35","1,830.00",3679260,"7,769,110,029.90",133510
"20-Jul-2021","EQ","2,099.50","2,108.00","2,084.00","2,098.95","2,089.95","2,093.80","2,097.18","2,369.35","1,830.00",3111185,"6,524,718,783.00",105619
"19-Jul-2021","EQ","2,100.00","2,124.00","2,092.25","2,112.40","2,097.95","2,098.95","2,108.57","2,369.35","1,830.00",3855577,"8,129,763,377.95",129037
"16-Jul-2021","EQ","2,087.75","2,114.75","2,087.60","2,082.35","2,110.00","2,112.40","2,104.60","2,369.35","1,798.00",4074206,"8,574,569,194.50",126660
"15-Jul-2021","EQ","2,095.00","2,095.00","2,078.50","2,086.00","2,080.75","2,082.35","2,086.62","2,369.35","1,798.00",4360415,"9,098,550,274.55",148981
"14-Jul-2021","EQ","2,100.35","2,106.85","2,081.25","2,099.70","2,083.55","2,086.00","2,090.03","2,369.35","1,798.00",3937768,"8,230,064,622.00",169306
"13-Jul-2021","EQ","2,100.00","2,103.05","2,088.05","2,084.10","2,099.00","2,099.70","2,097.12","2,369.35","1,798.00",3099956,"6,500,981,050.55",106030
"12-Jul-2021","EQ","2,079.75","2,101.50","2,074.50","2,071.20","2,081.95","2,084.10","2,088.16","2,369.35","1,798.00",3962111,"8,273,507,305.50",140597
"09-Jul-2021","EQ","2,088.00","2,091.70","2,066.10","2,092.60","2,071.95","2,071.20","2,074.82","2,369.35","1,786.25",4170886,"8,653,818,441.75",169203
"08-Jul-2021","EQ","2,116.95","2,116.95","2,081.00","2,110.05","2,091.00","2,092.60","2,097.58","2,369.35","1,786.25",5162088,"10,827,897,142.35",223120
